Audio: 000981_jfk-space-race-speech-59951.mp3
Language: English
Total words: 1697

================================================================================

   0.16s -    3.12s: President
  87.44s -   88.08s: Despite
  88.08s -   88.48s: that
  89.60s -   89.68s: the
  89.68s -   90.32s: vast
  90.56s -   91.20s: stretches
  91.20s -   91.36s: of
  91.36s -   91.52s: the
  91.52s -   92.16s: unknown
  92.80s -   93.12s: and
  93.12s -   93.28s: the
  93.28s -   93.84s: unanswered
  94.72s -   94.96s: and
  94.96s -   95.12s: the
  95.12s -   95.76s: unfinished
  96.80s -   97.20s: still
  97.20s -   97.52s: far
  97.52s -   98.00s: outstrip
  98.96s -   98.96s: our
  99.12s -   99.60s: collective
  99.60s -  100.24s: comprehension
 101.52s -  101.76s: No
 101.76s -  102.24s: man
 102.24s -  102.48s: can
 102.48s -  102.80s: fully
 102.80s -  103.20s: grasp
 104.08s -  104.24s: how
 104.24s -  104.72s: far
 105.36s -  105.52s: and
 105.52s -  105.68s: how
 105.76s -  106.16s: fast
 106.24s -  106.40s: we
 106.40s -  106.56s: have
 106.56s -  106.88s: come
 108.16s -  108.40s: but
 108.40s -  108.88s: convinced
 109.04s -  109.12s: you
 109.12s -  109.52s: will
 110.64s -  110.72s: The
 110.80s -  111.28s: 50
 111.28s -  112.00s: thousand
 112.00s -  112.40s: years
 113.36s -  113.44s: of
 113.44s -  113.84s: man's
 113.84s -  113.84s: recorded
 113.84s -  114.80s: history
 115.76s -  115.84s: in
 115.84s -  115.84s: a
 116.00s -  116.08s: time
 116.08s -  116.40s: span
 116.40s -  116.40s: of
 116.40s -  116.48s: but
 116.48s -  117.44s: a
 117.44s -  117.68s: half
 117.76s -  118.08s: century
 119.28s -  119.76s: stated
 119.76s -  119.84s: in
 119.84s -  120.16s: these
 120.16s -  120.64s: terms
 121.52s -  121.68s: We
 121.68s -  121.92s: know
 122.00s -  122.24s: very
 122.24s -  122.48s: little
 122.48s -  122.72s: about
 122.72s -  122.88s: the
 122.88s -  123.20s: first
 123.20s -  123.84s: 40
 123.84s -  123.84s: years
 124.88s -  125.28s: except
 125.28s -  125.44s: at
 125.44s -  125.52s: the
 125.60s -  125.76s: end
 125.76s -  125.92s: of
 125.92s -  126.08s: them
 126.88s -  127.12s: At
 127.12s -  127.44s: that
 127.44s -  127.52s: time
 127.52s -  127.84s: man
 127.84s -  128.00s: had
 128.00s -  128.32s: learned
 128.32s -  128.32s: to
 128.32s -  128.72s: use
 128.72s -  128.80s: the
 128.80s -  129.28s: skins
 129.28s -  129.36s: of
 129.36s -  129.68s: animals
 130.00s -  130.16s: to
 130.16s -  130.40s: cover
 130.40s -  130.56s: them
 131.76s -  131.92s: Then
 131.92s -  132.24s: about
 132.24s -  132.48s: 10
 132.48s -  132.72s: years
 132.72s -  133.12s: ago
 133.84s -  134.08s: under
 134.08s -  134.24s: this
 134.24s -  134.72s: standard
 135.52s -  135.92s: man
 135.92s -  136.40s: emerged
 136.40s -  136.56s: from
 136.56s -  136.64s: his
 136.64s -  137.12s: caves
 138.00s -  138.08s: to
 138.08s -  138.64s: construct
 138.64s -  138.80s: other
 138.80s -  139.12s: kinds
 139.12s -  139.28s: of
 139.28s -  139.60s: shelters
 140.72s -  141.04s: Only
 141.04s -  141.44s: five
 141.44s -  141.68s: years
 141.68s -  142.08s: ago
 142.96s -  143.20s: man
 143.20s -  143.52s: learned
 143.52s -  143.60s: to
 143.60s -  143.92s: write
 144.88s -  145.04s: and
 145.04s -  145.28s: use
 145.28s -  145.28s: a
 145.28s -  145.76s: clock
 145.76s -  145.84s: with
 145.92s -  146.24s: wheels
 147.44s -  148.16s: Christianity
 148.16s -  148.56s: began
 148.56s -  148.80s: less
 149.36s -  149.52s: than
 149.52s -  149.68s: two
 149.68s -  150.00s: years
 150.00s -  150.32s: ago
 151.36s -  151.44s: The
 151.44s -  151.76s: printing
 151.76s -  152.08s: press
 152.16s -  152.56s: came
 152.80s -  152.96s: this
 152.96s -  153.28s: year
 154.40s -  154.72s: and
 154.72s -  154.72s: then
 155.04s -  155.36s: less
 155.36s -  155.60s: than
 155.60s -  155.68s: two
 155.68s -  156.00s: months
 156.00s -  156.32s: ago
 157.44s -  157.76s: During
 157.76s -  157.92s: this
 158.00s -  158.40s: whole
 158.56s -  158.80s: 50
 158.88s -  159.28s: years
 159.28s -  159.84s: span
 159.84s -  159.92s: of
 160.00s -  160.24s: human
 160.24s -  160.64s: history
 161.44s -  161.44s: the
 161.44s -  161.84s: steam
 161.84s -  162.16s: engine
 163.12s -  163.60s: provided
 163.60s -  163.68s: a
 163.68s -  163.84s: new
 163.84s -  164.24s: source
 164.24s -  164.32s: of
 164.40s -  164.72s: power
 165.76s -  166.08s: Newton
 166.08s -  166.64s: explored
 166.64s -  166.72s: the
 166.72s -  167.04s: meaning
 167.04s -  167.20s: of
 167.20s -  167.60s: gravity
 168.56s -  169.04s: last
 169.04s -  169.28s: month
 170.24s -  170.72s: electric
 170.72s -  170.96s: lights
 171.44s -  171.60s: and
 171.68s -  172.00s: telephones
 172.64s -  172.80s: and
 172.88s -  173.52s: automobiles
 174.00s -  174.16s: and
 174.24s -  174.80s: airplanes
 174.80s -  175.20s: became
 175.20s -  175.60s: available
 176.48s -  176.80s: Only
 176.80s -  177.20s: last
 177.20s -  177.52s: week
 178.57s -  178.73s: We
 178.73s -  179.21s: developed
 179.21s -  179.77s: penicillin
 180.33s -  180.49s: and
 180.49s -  180.89s: television
 181.61s -  181.77s: and
 181.77s -  182.09s: nuclear
 182.09s -  182.49s: power
 183.21s -  183.53s: And
 183.53s -  184.01s: now
 184.01s -  184.09s: if
 184.09s -  184.81s: America's
 184.81s -  185.29s: newest
 185.29s -  186.09s: spacecraft
 186.81s -  187.53s: succeeds
 187.53s -  187.69s: in
 187.69s -  188.09s: reaching
 188.09s -  188.49s: Venus
 189.45s -  189.69s: we
 189.69s -  189.93s: will
 189.93s -  190.25s: have
 190.25s -  190.73s: literally
 190.73s -  191.05s: reached
 191.05s -  191.13s: the
 191.13s -  191.61s: stars
 192.33s -  192.73s: before
 192.73s -  193.21s: midnight
 193.21s -  193.53s: tonight
 194.57s -  194.89s: This
 194.89s -  194.97s: is
 194.97s -  195.05s: a
 195.05s -  195.77s: breathtaking
 195.77s -  196.09s: pace
 196.97s -  197.21s: and
 197.21s -  197.61s: such
 197.61s -  197.69s: a
 197.69s -  198.09s: pace
 198.09s -  198.57s: cannot
 198.57s -  198.89s: help
 199.93s -  200.09s: but
 200.09s -  200.49s: create
 200.49s -  201.05s: newills
 202.01s -  202.17s: as
 202.17s -  202.33s: it
 202.33s -  202.89s: dispels
 202.89s -  203.21s: old
 204.17s -  204.41s: New
 204.41s -  204.89s: ignorance
 205.29s -  205.45s: new
 205.45s -  205.93s: problems
 206.73s -  206.89s: new
 206.89s -  207.37s: dangers
 208.49s -  209.05s: Surely
 209.05s -  209.21s: the
 209.21s -  209.61s: opening
 209.61s -  210.01s: vistas
 210.01s -  210.09s: of
 210.09s -  210.49s: space
 211.61s -  212.01s: promise
 212.01s -  212.33s: by
 212.33s -  212.73s: course
 213.45s -  213.69s: and
 213.69s -  214.33s: hardships
 215.05s -  215.21s: as
 215.21s -  215.45s: well
 215.45s -  215.53s: as
 215.53s -  215.77s: high
 215.77s -  216.33s: reward
 217.29s -  217.69s: So
 217.69s -  217.77s: it
 217.85s -  217.93s: is
 217.93s -  218.25s: not
 218.25s -  218.97s: surprising
 219.93s -  220.09s: that
 220.09s -  220.41s: some
 220.49s -  220.65s: would
 220.65s -  220.89s: have
 220.89s -  221.05s: us
 221.05s -  221.45s: stay
 221.45s -  221.61s: where
 221.61s -  221.85s: we
 221.85s -  222.17s: are
 222.49s -  222.57s: a
 222.57s -  222.73s: little
 222.73s -  223.21s: longer
 223.77s -  223.85s: to
 223.85s -  224.17s: rest
 224.81s -  224.89s: to
 224.89s -  225.21s: wait
 226.17s -  226.49s: But
 226.49s -  226.73s: this
 226.73s -  227.13s: city
 227.13s -  227.21s: of
 227.21s -  227.77s: Houston
 228.41s -  228.65s: this
 228.65s -  228.97s: state
 229.05s -  229.13s: of
 229.13s -  229.53s: Texas
 230.33s -  230.57s: this
 230.57s -  231.05s: country
 231.05s -  231.21s: of
 231.21s -  231.29s: the
 231.29s -  231.69s: United
 231.69s -  232.09s: States
 232.09s -  232.25s: was
 232.25s -  232.57s: not
 232.57s -  232.89s: built
 232.89s -  233.13s: by
 233.13s -  233.53s: those
 233.53s -  233.61s: who
 233.61s -  234.01s: waited
 234.25s -  234.49s: and
 234.49s -  234.89s: rested
 235.45s -  235.61s: and
 235.61s -  235.85s: wished
 235.85s -  235.85s: to
 235.85s -  236.09s: look
 236.09s -  236.49s: behind
 246.17s -  246.17s: This
 246.25s -  246.89s: country
 246.89s -  247.05s: was
 247.13s -  247.45s: conquered
 248.57s -  248.73s: by
 248.73s -  249.05s: those
 249.05s -  249.21s: who
 249.21s -  249.45s: move
 249.53s -  249.85s: forward
 250.81s -  250.89s: and
 250.97s -  251.13s: so
 251.13s -  251.29s: will
 251.29s -  251.69s: space
 253.05s -  253.37s: William
 253.37s -  253.85s: Bradford
 255.13s -  255.61s: speaking
 255.61s -  255.69s: in
 255.69s -  256.25s: 1630
 256.25s -  256.25s: of
 256.25s -  256.57s: the
 257.93s -  258.41s: founding
 258.41s -  258.49s: of
 258.49s -  258.57s: the
 258.57s -  258.89s: Plymouth
 258.97s -  259.69s: Colony
 260.81s -  261.13s: said
 261.13s -  261.21s: that
 261.21s -  261.53s: all
 261.53s -  261.93s: great
 262.01s -  262.17s: and
 262.17s -  262.49s: honorable
 262.49s -  262.97s: actions
 263.77s -  264.09s: are
 264.09s -  264.49s: accompanied
 264.89s -  264.97s: with
 265.05s -  265.29s: great
 265.29s -  265.69s: difficulties
 266.81s -  266.97s: and
 267.05s -  267.37s: both
 267.69s -  267.93s: must
 267.93s -  268.09s: be
 268.09s -  268.81s: embraced
 269.77s -  269.93s: and
 269.93s -  270.49s: overcome
 271.29s -  271.45s: with
 271.45s -  271.93s: admirable
 272.01s -  272.33s: courage
 273.29s -  273.45s: If
 273.61s -  273.85s: this
 273.93s -  274.41s: capsule
 274.41s -  274.89s: history
 274.89s -  274.97s: of
 274.97s -  275.21s: our
 275.21s -  275.69s: progress
 275.69s -  276.09s: teaches
 276.09s -  276.25s: us
 276.25s -  276.65s: anything
 277.53s -  278.01s: it
 278.01s -  278.09s: is
 278.17s -  278.33s: that
 278.33s -  278.73s: man
 278.73s -  278.89s: and
 278.89s -  278.97s: his
 279.13s -  279.45s: quest
 279.45s -  279.53s: for
 279.53s -  280.01s: knowledge
 280.01s -  280.17s: and
 280.25s -  280.73s: progress
 280.81s -  280.97s: is
 280.97s -  281.69s: determined
 281.93s -  282.17s: and
 282.17s -  282.49s: cannot
 282.49s -  282.65s: be
 282.65s -  283.13s: deterred
 284.17s -  284.33s: The
 284.33s -  285.13s: exploration
 285.13s -  285.29s: of
 285.29s -  285.69s: space
 285.69s -  285.93s: will
 285.93s -  286.09s: go
 286.09s -  286.49s: ahead
 287.37s -  287.61s: whether
 287.61s -  287.85s: we
 287.93s -  288.41s: join
 288.41s -  288.57s: in
 288.57s -  288.65s: it
 288.65s -  288.81s: or
 288.81s -  289.13s: not
 290.49s -  290.73s: And
 290.73s -  290.81s: it
 290.81s -  291.05s: is
 291.05s -  291.37s: one
 291.37s -  291.53s: of
 291.53s -  291.53s: the
 291.53s -  291.85s: great
 291.85s -  292.41s: adventures
 292.41s -  292.49s: of
 292.49s -  292.81s: all
 292.81s -  293.29s: time
 294.01s -  294.33s: and
 294.97s -  294.97s: nation
 296.09s -  296.33s: which
 296.33s -  296.65s: expects
 297.05s -  297.05s: to
 297.05s -  297.45s: be
 297.45s -  297.61s: the
 297.61s -  298.09s: leader
 298.17s -  298.25s: of
 298.25s -  298.57s: other
 298.57s -  298.89s: nations
 299.69s -  299.85s: Can
 299.85s -  300.25s: expect
 300.33s -  300.33s: to
 300.33s -  300.57s: stay
 300.57s -  301.05s: behind
 301.85s -  301.93s: in
 301.93s -  302.09s: this
 302.09s -  302.33s: race
 302.33s -  302.49s: for
 302.49s -  302.89s: space
 303.93s -  304.33s: Those
 304.33s -  304.49s: who
 304.57s -  304.89s: came
 304.89s -  305.37s: before
 305.37s -  305.53s: us
 306.49s -  306.81s: may
 306.81s -  307.21s: assert
 307.45s -  307.61s: that
 307.61s -  307.85s: this
 307.85s -  308.33s: country
 308.33s -  308.81s: rolled
 308.81s -  308.97s: the
 309.05s -  309.37s: first
 309.37s -  309.85s: waves
 310.41s -  310.57s: of
 310.57s -  310.73s: the
 310.73s -  311.37s: industrial
 311.37s -  311.85s: revolution
 312.81s -  312.97s: the
 312.97s -  313.37s: first
 313.37s -  313.77s: waves
 313.77s -  313.85s: of
 313.85s -  314.17s: modern
 314.17s -  314.65s: invention
 315.69s -  315.77s: and
 315.77s -  315.85s: the
 315.93s -  316.25s: first
 316.25s -  316.57s: waves
 316.57s -  316.65s: of
 316.65s -  316.97s: nuclear
 317.05s -  317.45s: power
 318.09s -  318.49s: And
 318.49s -  318.81s: this
 318.81s -  319.37s: generation
 319.77s -  320.17s: does
 320.17s -  320.41s: not
 320.41s -  321.05s: intend
 321.05s -  321.05s: to
 321.93s -  322.41s: founder
 322.41s -  322.49s: in
 322.49s -  322.57s: the
 322.57s -  323.29s: backwash
 324.01s -  324.09s: of
 324.09s -  324.17s: the
 324.25s -  324.49s: coming
 324.49s -  324.81s: age
 324.81s -  324.89s: of
 324.89s -  325.29s: space
 325.69s -  326.01s: We
 326.01s -  326.33s: mean
 326.33s -  326.41s: to
 326.41s -  326.65s: be
 326.65s -  326.81s: a
 326.81s -  327.13s: part
 327.13s -  327.29s: of
 327.29s -  327.37s: it
 327.77s -  328.01s: We
 328.01s -  328.25s: mean
 328.25s -  328.33s: to
 328.33s -  328.65s: lead
 328.65s -  328.65s: it
 340.33s -  340.41s: For
 340.41s -  340.57s: the
 340.57s -  340.89s: eyes
 340.89s -  341.05s: of
 341.05s -  341.13s: the
 341.13s -  341.61s: world
 342.73s -  343.13s: now
 343.13s -  343.29s: look
 343.29s -  343.37s: at
 343.37s -  343.37s: the
 343.53s -  344.01s: space
 344.73s -  344.73s: to
 344.73s -  344.89s: the
 344.89s -  345.45s: moon
 346.17s -  346.33s: and
 346.33s -  346.41s: the
 346.41s -  346.89s: planets
 346.89s -  347.37s: beyond
 348.25s -  348.57s: and
 348.57s -  348.89s: we
 348.89s -  349.13s: have
 349.13s -  349.53s: vowed
 350.57s -  350.89s: that
 350.89s -  351.05s: we
 351.05s -  351.45s: shall
 351.45s -  351.69s: not
 351.69s -  352.01s: see
 352.01s -  352.49s: governed
 353.53s -  353.85s: by
 353.85s -  353.93s: a
 353.93s -  354.41s: hostile
 354.49s -  354.89s: flag
 354.89s -  354.97s: of
 354.97s -  355.53s: conquest
 356.49s -  356.73s: but
 356.73s -  357.05s: by
 357.05s -  357.13s: a
 357.13s -  357.53s: banner
 357.53s -  357.69s: of
 357.77s -  358.09s: freedom
 359.05s -  359.21s: And
 359.21s -  359.53s: peace
 360.33s -  360.57s: we
 360.57s -  361.13s: vow
 361.21s -  361.37s: that
 361.37s -  361.61s: we
 361.61s -  361.93s: shall
 361.93s -  362.17s: not
 362.17s -  362.49s: see
 362.49s -  362.89s: space
 362.89s -  364.33s: filled
 364.33s -  364.49s: with
 364.49s -  364.89s: weapons
 364.89s -  364.97s: of
 364.97s -  365.37s: mass
 365.37s -  366.01s: destruction
 366.89s -  367.13s: but
 367.13s -  367.21s: with
 367.21s -  367.77s: instruments
 367.77s -  367.85s: of
 367.85s -  368.25s: knowledge
 368.97s -  369.13s: and
 369.13s -  369.77s: understanding
 370.81s -  371.05s: Yet
 371.05s -  371.21s: the
 371.21s -  371.85s: vows
 371.85s -  372.17s: of
 372.17s -  372.33s: this
 372.33s -  372.73s: nation
 373.69s -  373.93s: can
 373.93s -  374.41s: only
 374.41s -  374.73s: be
 374.73s -  375.37s: fulfilled
 376.25s -  376.49s: if
 376.57s -  376.89s: we
 376.89s -  377.05s: in
 377.05s -  377.29s: this
 377.29s -  377.69s: nation
 377.69s -  377.93s: are
 377.93s -  378.33s: first
 379.21s -  379.37s: and
 379.37s -  379.85s: therefore
 379.85s -  380.01s: we
 380.01s -  380.49s: intend
 380.49s -  380.49s: to
 380.49s -  380.73s: be
 380.73s -  381.05s: first
 388.65s -  388.89s: In
 388.89s -  389.37s: short
 390.25s -  390.57s: our
 390.57s -  391.13s: leadership
 391.13s -  391.29s: in
 391.29s -  391.77s: science
 392.01s -  392.09s: and
 392.09s -  392.65s: industry
 393.61s -  393.85s: our
 393.85s -  394.17s: hopes
 394.33s -  394.41s: for
 394.41s -  394.81s: peace
 394.97s -  395.13s: and
 395.13s -  395.69s: security
 396.57s -  396.97s: our
 396.97s -  397.61s: obligations
 397.69s -  397.77s: to
 397.77s -  398.49s: ourselves
 398.89s -  399.05s: as
 399.05s -  399.29s: well
 399.29s -  399.37s: as
 399.37s -  399.61s: others
 400.41s -  400.81s: all
 400.81s -  401.45s: require
 401.53s -  401.61s: us
 401.77s -  401.85s: to
 401.85s -  402.25s: make
 402.25s -  402.41s: this
 402.41s -  402.65s: effort
 403.45s -  403.53s: to
 403.69s -  404.17s: solve
 404.17s -  404.41s: these
 404.49s -  404.81s: mysteries
 405.77s -  405.85s: to
 405.85s -  406.33s: solve
 406.33s -  406.49s: them
 406.49s -  406.57s: for
 406.57s -  406.73s: the
 406.73s -  406.89s: good
 406.97s -  407.05s: of
 407.05s -  407.29s: all
 407.29s -  407.61s: men
 408.41s -  408.73s: and
 408.73s -  408.89s: to
 408.89s -  409.53s: become
 409.53s -  409.61s: the
 409.61s -  410.17s: world's
 410.41s -  410.89s: leading
 411.05s -  411.85s: spacefaring
 411.85s -  412.09s: nation
 413.29s -  413.61s: We
 413.61s -  413.93s: set
 413.93s -  414.41s: sail
 414.41s -  414.65s: on
 414.65s -  414.81s: this
 414.89s -  415.05s: new
 415.05s -  415.45s: sea
 416.33s -  416.97s: because
 416.97s -  417.21s: there
 417.21s -  417.37s: is
 417.37s -  417.61s: new
 417.61s -  418.01s: knowledge
 418.33s -  418.41s: to
 418.41s -  418.57s: be
 418.57s -  418.97s: gained
 419.61s -  419.77s: and
 419.77s -  419.93s: new
 419.93s -  420.33s: rights
 420.57s -  420.65s: to
 420.65s -  420.81s: be
 420.81s -  421.13s: won
 421.93s -  422.17s: and
 422.17s -  422.41s: they
 422.41s -  422.73s: must
 422.73s -  422.81s: be
 422.81s -  423.29s: won
 423.37s -  423.61s: and
 423.61s -  424.01s: used
 424.73s -  424.89s: for
 424.89s -  424.97s: the
 424.97s -  425.45s: progress
 425.61s -  425.69s: of
 425.69s -  426.01s: all
 426.01s -  426.25s: people
 427.37s -  427.53s: For
 427.53s -  427.93s: space
 427.93s -  428.41s: science
 429.21s -  429.45s: like
 429.45s -  429.93s: nuclear
 429.93s -  430.41s: science
 430.41s -  430.49s: and
 430.49s -  430.73s: all
 430.73s -  431.37s: technology
 432.09s -  432.41s: has
 432.41s -  432.57s: no
 432.57s -  433.13s: conscience
 433.13s -  433.29s: of
 433.29s -  433.37s: its
 433.37s -  433.77s: own
 434.89s -  435.13s: Whether
 435.13s -  435.45s: it
 435.45s -  435.61s: will
 435.61s -  436.17s: become
 436.17s -  436.33s: a
 436.33s -  436.73s: force
 436.73s -  437.05s: for
 437.05s -  437.37s: good
 437.45s -  437.61s: or
 437.61s -  437.93s: ill
 438.01s -  438.49s: depends
 438.49s -  438.65s: on
 438.65s -  439.05s: man
 440.01s -  440.17s: And
 440.17s -  440.65s: only
 440.65s -  440.81s: if
 440.81s -  440.97s: the
 440.97s -  441.29s: United
 441.29s -  441.61s: States
 442.73s -  443.53s: occupies
 443.61s -  443.69s: a
 443.77s -  444.41s: position
 444.41s -  444.57s: of
 444.65s -  445.05s: preeminence
 446.41s -  446.81s: can
 446.81s -  447.05s: we
 447.05s -  447.37s: help
 447.37s -  447.93s: decide
 449.05s -  449.37s: whether
 449.37s -  449.53s: this
 449.61s -  449.69s: new
 449.77s -  450.09s: ocean
 451.13s -  451.29s: will
 451.29s -  451.53s: be
 451.53s -  451.61s: a
 451.61s -  451.93s: sea
 451.93s -  452.09s: of
 452.09s -  452.41s: peace
 453.29s -  453.45s: or
 453.45s -  453.53s: a
 453.53s -  454.09s: new
 454.17s -  454.89s: terrifying
 455.05s -  455.29s: theater
 455.37s -  455.53s: of
 455.53s -  455.93s: war
 457.13s -  457.37s: I
 457.37s -  457.53s: do
 457.53s -  457.77s: not
 457.77s -  458.09s: say
 458.09s -  458.25s: that
 458.25s -  458.41s: we
 458.41s -  458.89s: should
 458.97s -  458.97s: or
 459.21s -  459.37s: will
 459.37s -  459.69s: go
 460.57s -  461.29s: unprotected
 462.09s -  462.49s: against
 462.49s -  462.65s: the
 462.65s -  463.05s: hostile
 463.05s -  463.61s: misuse
 463.61s -  463.69s: of
 463.69s -  464.09s: space
 464.97s -  465.29s: any
 465.29s -  465.61s: more
 465.69s -  465.93s: than
 465.93s -  466.09s: we
 466.09s -  466.33s: go
 466.33s -  466.89s: unprotected
 467.77s -  468.17s: against
 468.17s -  468.25s: the
 468.25s -  468.73s: hostile
 468.73s -  468.97s: use
 469.05s -  469.13s: of
 469.13s -  469.53s: land
 470.09s -  470.25s: or
 470.33s -  470.65s: sea
 471.53s -  471.69s: But
 471.69s -  471.85s: I
 471.85s -  472.09s: do
 472.09s -  472.57s: say
 472.57s -  472.73s: that
 472.73s -  473.21s: space
 473.29s -  473.53s: can
 473.53s -  473.69s: be
 473.69s -  474.41s: explored
 474.57s -  474.73s: and
 474.73s -  475.21s: mastered
 476.17s -  476.57s: without
 476.57s -  476.97s: feeding
 476.97s -  476.97s: the
 476.97s -  477.45s: fires
 477.45s -  477.61s: of
 477.61s -  477.93s: war
 478.89s -  479.29s: without
 479.29s -  479.85s: repeating
 479.85s -  479.93s: the
 479.93s -  480.49s: mistakes
 480.57s -  480.73s: that
 480.73s -  481.05s: man
 481.05s -  481.21s: has
 481.21s -  481.61s: made
 481.61s -  481.69s: in
 481.69s -  482.25s: extending
 482.25s -  482.49s: his
 482.49s -  482.73s: reach
 483.29s -  483.77s: around
 483.77s -  483.93s: this
 484.01s -  484.25s: globe
 484.25s -  484.33s: of
 484.33s -  484.73s: ours
 485.69s -  486.09s: There
 486.09s -  486.41s: is
 486.41s -  486.65s: no
 486.65s -  487.05s: strife
 487.85s -  488.01s: no
 488.01s -  488.49s: prejudice
 489.29s -  489.45s: no
